# girsa-ref lexicon. GENERATED by girsa-corpus/examples/build-lexicon.rs
# from Sefaria's schemas. Do not hand-edit — regenerate.
# variant	slug	he-title	en-title
'זוה”ק	zohar	ספר הזהר	Zohar
שערי תורת בבל על בבא בתרא	bavli/shaarei-torat-bavel-on-bava-batra	שערי תורת בבל על בבא בתרא	Sha'arei Torat Bavel on Bava Batra
שערי תורת בבל על בבא מציעא	bavli/shaarei-torat-bavel-on-bava-metzia	שערי תורת בבל על בבא מציעא	Sha'arei Torat Bavel on Bava Metzia
שערי תורת בבל על בבא קמא	bavli/shaarei-torat-bavel-on-bava-kamma	שערי תורת בבל על בבא קמא	Sha'arei Torat Bavel on Bava Kamma
שערי תורת בבל על ביצה	bavli/shaarei-torat-bavel-on-beitzah	שערי תורת בבל על ביצה	Sha'arei Torat Bavel on Beitzah
שערי תורת בבל על בכורות	bavli/shaarei-torat-bavel-on-bekhorot	שערי תורת בבל על בכורות	Sha'arei Torat Bavel on Bekhorot
שערי תורת בבל על ברכות	bavli/shaarei-torat-bavel-on-berakhot	שערי תורת בבל על ברכות	Sha'arei Torat Bavel on Berakhot
שערי תורת בבל על גיטין	bavli/shaarei-torat-bavel-on-gittin	שערי תורת בבל על גיטין	Sha'arei Torat Bavel on Gittin
שערי תורת בבל על הוריות	bavli/shaarei-torat-bavel-on-horayot	שערי תורת בבל על הוריות	Sha'arei Torat Bavel on Horayot
שערי תורת בבל על זבחים	bavli/shaarei-torat-bavel-on-zevachim	שערי תורת בבל על זבחים	Sha'arei Torat Bavel on Zevachim
שערי תורת בבל על חגיגה	bavli/shaarei-torat-bavel-on-chagigah	שערי תורת בבל על חגיגה	Sha'arei Torat Bavel on Chagigah
שערי תורת בבל על חולין	bavli/shaarei-torat-bavel-on-chullin	שערי תורת בבל על חולין	Sha'arei Torat Bavel on Chullin
שערי תורת בבל על יבמות	bavli/shaarei-torat-bavel-on-yevamot	שערי תורת בבל על יבמות	Sha'arei Torat Bavel on Yevamot
שערי תורת בבל על יומא	bavli/shaarei-torat-bavel-on-yoma	שערי תורת בבל על יומא	Sha'arei Torat Bavel on Yoma
שערי תורת בבל על כריתות	bavli/shaarei-torat-bavel-on-keritot	שערי תורת בבל על כריתות	Sha'arei Torat Bavel on Keritot
שערי תורת בבל על כתובות	bavli/shaarei-torat-bavel-on-ketubot	שערי תורת בבל על כתובות	Sha'arei Torat Bavel on Ketubot
שערי תורת בבל על מגילה	bavli/shaarei-torat-bavel-on-megillah	שערי תורת בבל על מגילה	Sha'arei Torat Bavel on Megillah
שערי תורת בבל על מועד קטן	bavli/shaarei-torat-bavel-on-moed-katan	שערי תורת בבל על מועד קטן	Sha'arei Torat Bavel on Moed Katan
שערי תורת בבל על מכות	bavli/shaarei-torat-bavel-on-makkot	שערי תורת בבל על מכות	Sha'arei Torat Bavel on Makkot
שערי תורת בבל על מנחות	bavli/shaarei-torat-bavel-on-menachot	שערי תורת בבל על מנחות	Sha'arei Torat Bavel on Menachot
שערי תורת בבל על מסכת גרים	bavli/shaarei-torat-bavel-on-tractate-gerim	שערי תורת בבל על מסכת גרים	Sha'arei Torat Bavel on Tractate Gerim
שערי תורת בבל על מסכת דרך ארץ זוטא	bavli/shaarei-torat-bavel-on-tractate-derekh-eretz-zuta	שערי תורת בבל על מסכת דרך ארץ זוטא	Sha'arei Torat Bavel on Tractate Derekh Eretz Zuta
שערי תורת בבל על מסכת דרך ארץ רבה	bavli/shaarei-torat-bavel-on-tractate-derekh-eretz-rabbah	שערי תורת בבל על מסכת דרך ארץ רבה	Sha'arei Torat Bavel on Tractate Derekh Eretz Rabbah
שערי תורת בבל על מסכת כותים	bavli/shaarei-torat-bavel-on-tractate-kutim	שערי תורת בבל על מסכת כותים	Sha'arei Torat Bavel on Tractate Kutim
שערי תורת בבל על מסכת כלה	bavli/shaarei-torat-bavel-on-tractate-kallah	שערי תורת בבל על מסכת כלה	Sha'arei Torat Bavel on Tractate Kallah
שערי תורת בבל על מסכת סופרים	bavli/shaarei-torat-bavel-on-tractate-soferim	שערי תורת בבל על מסכת סופרים	Sha'arei Torat Bavel on Tractate Soferim
שערי תורת בבל על מסכת עבדים	bavli/shaarei-torat-bavel-on-tractate-avadim	שערי תורת בבל על מסכת עבדים	Sha'arei Torat Bavel on Tractate Avadim
שערי תורת בבל על מסכת שמחות	bavli/shaarei-torat-bavel-on-tractate-semachot	שערי תורת בבל על מסכת שמחות	Sha'arei Torat Bavel on Tractate Semachot
שערי תורת בבל על מעילה	bavli/shaarei-torat-bavel-on-meilah	שערי תורת בבל על מעילה	Sha'arei Torat Bavel on Meilah
שערי תורת בבל על משנה אבות	shaarei-torat-bavel-on-pirkei-avot	שערי תורת בבל על משנה אבות	Sha'arei Torat Bavel on Pirkei Avot
שערי תורת בבל על משנה אהלות	shaarei-torat-bavel-on-mishnah-oholot	שערי תורת בבל על משנה אהלות	Sha'arei Torat Bavel on Mishnah Oholot
שערי תורת בבל על משנה ביכורים	shaarei-torat-bavel-on-mishnah-bikkurim	שערי תורת בבל על משנה ביכורים	Sha'arei Torat Bavel on Mishnah Bikkurim
שערי תורת בבל על משנה דמאי	shaarei-torat-bavel-on-mishnah-demai	שערי תורת בבל על משנה דמאי	Sha'arei Torat Bavel on Mishnah Demai
שערי תורת בבל על משנה זבים	shaarei-torat-bavel-on-mishnah-zavim	שערי תורת בבל על משנה זבים	Sha'arei Torat Bavel on Mishnah Zavim
שערי תורת בבל על משנה חלה	shaarei-torat-bavel-on-mishnah-challah	שערי תורת בבל על משנה חלה	Sha'arei Torat Bavel on Mishnah Challah
שערי תורת בבל על משנה טבול יום	shaarei-torat-bavel-on-mishnah-tevul-yom	שערי תורת בבל על משנה טבול יום	Sha'arei Torat Bavel on Mishnah Tevul Yom
שערי תורת בבל על משנה טהרות	shaarei-torat-bavel-on-mishnah-tahorot	שערי תורת בבל על משנה טהרות	Sha'arei Torat Bavel on Mishnah Tahorot
שערי תורת בבל על משנה ידים	shaarei-torat-bavel-on-mishnah-yadayim	שערי תורת בבל על משנה ידים	Sha'arei Torat Bavel on Mishnah Yadayim
שערי תורת בבל על משנה כלאים	shaarei-torat-bavel-on-mishnah-kilayim	שערי תורת בבל על משנה כלאים	Sha'arei Torat Bavel on Mishnah Kilayim
שערי תורת בבל על משנה כלים	shaarei-torat-bavel-on-mishnah-kelim	שערי תורת בבל על משנה כלים	Sha'arei Torat Bavel on Mishnah Kelim
שערי תורת בבל על משנה מדות	shaarei-torat-bavel-on-mishnah-middot	שערי תורת בבל על משנה מדות	Sha'arei Torat Bavel on Mishnah Middot
שערי תורת בבל על משנה מכשירין	shaarei-torat-bavel-on-mishnah-makhshirin	שערי תורת בבל על משנה מכשירין	Sha'arei Torat Bavel on Mishnah Makhshirin
שערי תורת בבל על משנה מעשר שני	shaarei-torat-bavel-on-mishnah-maaser-sheni	שערי תורת בבל על משנה מעשר שני	Sha'arei Torat Bavel on Mishnah Maaser Sheni
שערי תורת בבל על משנה מעשרות	shaarei-torat-bavel-on-mishnah-maasrot	שערי תורת בבל על משנה מעשרות	Sha'arei Torat Bavel on Mishnah Maasrot
שערי תורת בבל על משנה מקואות	shaarei-torat-bavel-on-mishnah-mikvaot	שערי תורת בבל על משנה מקואות	Sha'arei Torat Bavel on Mishnah Mikvaot
שערי תורת בבל על משנה נגעים	shaarei-torat-bavel-on-mishnah-negaim	שערי תורת בבל על משנה נגעים	Sha'arei Torat Bavel on Mishnah Negaim
שערי תורת בבל על משנה עדיות	shaarei-torat-bavel-on-mishnah-eduyot	שערי תורת בבל על משנה עדיות	Sha'arei Torat Bavel on Mishnah Eduyot
שערי תורת בבל על משנה עוקצים	shaarei-torat-bavel-on-mishnah-oktzin	שערי תורת בבל על משנה עוקצים	Sha'arei Torat Bavel on Mishnah Oktzin
שערי תורת בבל על משנה ערלה	shaarei-torat-bavel-on-mishnah-orlah	שערי תורת בבל על משנה ערלה	Sha'arei Torat Bavel on Mishnah Orlah
שערי תורת בבל על משנה פאה	shaarei-torat-bavel-on-mishnah-peah	שערי תורת בבל על משנה פאה	Sha'arei Torat Bavel on Mishnah Peah
שערי תורת בבל על משנה פרה	shaarei-torat-bavel-on-mishnah-parah	שערי תורת בבל על משנה פרה	Sha'arei Torat Bavel on Mishnah Parah
שערי תורת בבל על משנה קינים	shaarei-torat-bavel-on-mishnah-kinnim	שערי תורת בבל על משנה קינים	Sha'arei Torat Bavel on Mishnah Kinnim
שערי תורת בבל על משנה שביעית	shaarei-torat-bavel-on-mishnah-sheviit	שערי תורת בבל על משנה שביעית	Sha'arei Torat Bavel on Mishnah Sheviit
שערי תורת בבל על משנה תרומות	shaarei-torat-bavel-on-mishnah-terumot	שערי תורת בבל על משנה תרומות	Sha'arei Torat Bavel on Mishnah Terumot
שערי תורת בבל על נדה	bavli/shaarei-torat-bavel-on-niddah	שערי תורת בבל על נדה	Sha'arei Torat Bavel on Niddah
שערי תורת בבל על נדרים	bavli/shaarei-torat-bavel-on-nedarim	שערי תורת בבל על נדרים	Sha'arei Torat Bavel on Nedarim
שערי תורת בבל על נזיר	bavli/shaarei-torat-bavel-on-nazir	שערי תורת בבל על נזיר	Sha'arei Torat Bavel on Nazir
שערי תורת בבל על סוטה	bavli/shaarei-torat-bavel-on-sotah	שערי תורת בבל על סוטה	Sha'arei Torat Bavel on Sotah
שערי תורת בבל על סוכה	bavli/shaarei-torat-bavel-on-sukkah	שערי תורת בבל על סוכה	Sha'arei Torat Bavel on Sukkah
שערי תורת בבל על סנהדרין	bavli/shaarei-torat-bavel-on-sanhedrin	שערי תורת בבל על סנהדרין	Sha'arei Torat Bavel on Sanhedrin
שערי תורת בבל על עבודה זרה	bavli/shaarei-torat-bavel-on-avodah-zarah	שערי תורת בבל על עבודה זרה	Sha'arei Torat Bavel on Avodah Zarah
שערי תורת בבל על עירובין	bavli/shaarei-torat-bavel-on-eruvin	שערי תורת בבל על עירובין	Sha'arei Torat Bavel on Eruvin
שערי תורת בבל על ערכין	bavli/shaarei-torat-bavel-on-arakhin	שערי תורת בבל על ערכין	Sha'arei Torat Bavel on Arakhin
שערי תורת בבל על פסחים	bavli/shaarei-torat-bavel-on-pesachim	שערי תורת בבל על פסחים	Sha'arei Torat Bavel on Pesachim
שערי תורת בבל על קידושין	bavli/shaarei-torat-bavel-on-kiddushin	שערי תורת בבל על קידושין	Sha'arei Torat Bavel on Kiddushin
שערי תורת בבל על ראש השנה	bavli/shaarei-torat-bavel-on-rosh-hashanah	שערי תורת בבל על ראש השנה	Sha'arei Torat Bavel on Rosh Hashanah
שערי תורת בבל על שבועות	bavli/shaarei-torat-bavel-on-shevuot	שערי תורת בבל על שבועות	Sha'arei Torat Bavel on Shevuot
שערי תורת בבל על שבת	bavli/shaarei-torat-bavel-on-shabbat	שערי תורת בבל על שבת	Sha'arei Torat Bavel on Shabbat
שערי תורת בבל על תמורה	bavli/shaarei-torat-bavel-on-temurah	שערי תורת בבל על תמורה	Sha'arei Torat Bavel on Temurah
שערי תורת בבל על תמיד	bavli/shaarei-torat-bavel-on-tamid	שערי תורת בבל על תמיד	Sha'arei Torat Bavel on Tamid
שערי תורת בבל על תענית	bavli/shaarei-torat-bavel-on-taanit	שערי תורת בבל על תענית	Sha'arei Torat Bavel on Taanit
שערי תשובה	shaarei-teshuvah	שערי תשובה	Sha'arei Teshuvah
שערי תשובה על שולחן ערוך אורח חיים	shaarei-teshuvah-on-shulchan-arukh/orach-chayim	שערי תשובה על שולחן ערוך אורח חיים	Sha'arei Teshuvah on Shulchan Arukh, Orach Chayim
שפה אחת על הגדה של פסח	safa-echat-on-pesach-haggadah	שפה אחת על הגדה של פסח	Safa Echat on Pesach Haggadah
שפת אמת	sefat-emet	שפת אמת	Sefat Emet
שפת יתר	sefat-yeter	שפת יתר	Sefat Yeter
שפתי חכמים	siftei-chakhamim	שפתי חכמים	Siftei Chakhamim
שפתי חכמים על שיר השירים	siftei-chakhamim-on-song-of-songs	שפתי חכמים על שיר השירים	Siftei Chakhamim on Song of Songs
שפתי כהן על התורה	siftei-kohen-on-torah	שפתי כהן על התורה	Siftei Kohen on Torah
שפתי כהן על שולחן ערוך חושן משפט	siftei-kohen-on-shulchan-arukh/choshen-mishpat	שפתי כהן על שולחן ערוך חושן משפט	Siftei Kohen on Shulchan Arukh, Choshen Mishpat
שפתי כהן על שולחן ערוך יורה דעה	siftei-kohen-on-shulchan-arukh/yoreh-deah	שפתי כהן על שולחן ערוך יורה דעה	Siftei Kohen on Shulchan Arukh, Yoreh De'ah
שפתי כהן על תורה	siftei-kohen-on-torah	שפתי כהן על התורה	Siftei Kohen on Torah
שקל הקדש	shekel-hakodesh	שקל הקדש	Shekel HaKodesh
שקלים	mishnah-shekalim	משנה שקלים	Mishnah Shekalim
ש״א	i-samuel	שמואל א	I Samuel
ש״ב	ii-samuel	שמואל ב	II Samuel
ש״ך ח״מ	siftei-kohen-on-shulchan-arukh/choshen-mishpat	שפתי כהן על שולחן ערוך חושן משפט	Siftei Kohen on Shulchan Arukh, Choshen Mishpat
ש״ך יורה דעה	siftei-kohen-on-shulchan-arukh/yoreh-deah	שפתי כהן על שולחן ערוך יורה דעה	Siftei Kohen on Shulchan Arukh, Yoreh De'ah
ש״ך על יורה דעה	siftei-kohen-on-shulchan-arukh/yoreh-deah	שפתי כהן על שולחן ערוך יורה דעה	Siftei Kohen on Shulchan Arukh, Yoreh De'ah
ש״ך על שולחן ערוך יורה דעה	siftei-kohen-on-shulchan-arukh/yoreh-deah	שפתי כהן על שולחן ערוך יורה דעה	Siftei Kohen on Shulchan Arukh, Yoreh De'ah
ש”א	i-samuel	שמואל א	I Samuel
ש”ב	ii-samuel	שמואל ב	II Samuel
ת"ה הארוך	torat-habayit-haaroch	תורת הבית הארוך	Torat HaBayit HaAroch
תְּהִלִּים	psalms	תהילים	Psalms
תְּפִלַּת מְנַשֶׁה	prayer-of-manasseh	תְּפִלַּת מְנַשֶׁה	Prayer of Manasseh
תדב"א רבא	tanna-debei-eliyahu-rabbah	תנא דבי אליהו רבה	Tanna DeBei Eliyahu Rabbah
תדב"א רבה	tanna-debei-eliyahu-rabbah	תנא דבי אליהו רבה	Tanna DeBei Eliyahu Rabbah
תדבא"ר	tanna-debei-eliyahu-rabbah	תנא דבי אליהו רבה	Tanna DeBei Eliyahu Rabbah
תדבא״ר	tanna-debei-eliyahu-rabbah	תנא דבי אליהו רבה	Tanna DeBei Eliyahu Rabbah
תדבא”ר	tanna-debei-eliyahu-rabbah	תנא דבי אליהו רבה	Tanna DeBei Eliyahu Rabbah
תדב״א רבא	tanna-debei-eliyahu-rabbah	תנא דבי אליהו רבה	Tanna DeBei Eliyahu Rabbah
תדב״א רבה	tanna-debei-eliyahu-rabbah	תנא דבי אליהו רבה	Tanna DeBei Eliyahu Rabbah
תדב”א רבא	tanna-debei-eliyahu-rabbah	תנא דבי אליהו רבה	Tanna DeBei Eliyahu Rabbah
תדב”א רבה	tanna-debei-eliyahu-rabbah	תנא דבי אליהו רבה	Tanna DeBei Eliyahu Rabbah
תהי'	psalms	תהילים	Psalms
תהילות	psalms	תהילים	Psalms
תהילי'	psalms	תהילים	Psalms
תהילים	psalms	תהילים	Psalms
תהילים קנ"א	psalm-151	תהילים קנ"א	Psalm 151
תהילים קנ״א	psalm-151	תהילים קנ"א	Psalm 151
תהילים קנ”א	psalm-151	תהילים קנ"א	Psalm 151
תהילי׳	psalms	תהילים	Psalms
תהל'	psalms	תהילים	Psalms
תהלי'	psalms	תהילים	Psalms
תהלים	psalms	תהילים	Psalms
תהלים קנ"ד	psalm-154	תהלים קנ"ד	Psalm 154
תהלי׳	psalms	תהילים	Psalms
תהל׳	psalms	תהילים	Psalms
תה׳	psalms	תהילים	Psalms
תו"כ	sifra	ספרא	Sifra
תולדות יעקב יוסף	toldot-yaakov-yosef	תולדות יעקב יוסף	Toldot Yaakov Yosef
תולדות יצחק על התורה	toledot-yitzchak-on-torah	תולדות יצחק על התורה	Toledot Yitzchak on Torah
תולדות יצחק על תורה	toledot-yitzchak-on-torah	תולדות יצחק על התורה	Toledot Yitzchak on Torah
תומר דבורה	tomer-devorah	תומר דבורה	Tomer Devorah
תומת ישרים על אבות דרבי נתן	bavli/tumat-yesharim-on-avot-drabbi-natan	תומת ישרים על אבות דרבי נתן	Tumat Yesharim on Avot D'Rabbi Natan
תוס' שבת	bavli/tosafot-on-shabbat	תוספות על שבת	Tosafot on Shabbat
תוספות הרא"ש על ברכות	bavli/tosafot-harosh-on-berakhot	תוספות הרא"ש על ברכות	Tosafot HaRosh on Berakhot
תוספות הרא"ש על מסכת הוריות	bavli/tosafot-harosh-on-horayot	תוספות הרא"ש על מסכת הוריות	Tosafot HaRosh on Horayot
תוספות הרא"ש על מסכת נדה	bavli/tosafot-harosh-on-niddah	תוספות הרא"ש על מסכת נדה	Tosafot HaRosh on Niddah
תוספות הרא"ש על קידושין	bavli/tosafot-harosh-on-kiddushin	תוספות הרא"ש על קידושין	Tosafot HaRosh on Kiddushin
תוספות הרי"ד על תלמוד ירושלמי בבא בתרא	yerushalmi/tosafot-harid-on-jerusalem-talmud-bava-batra	תוספות הרי"ד על תלמוד ירושלמי בבא בתרא	Tosafot HaRid on Jerusalem Talmud Bava Batra
תוספות הרי"ד על תלמוד ירושלמי בבא מציעא	yerushalmi/tosafot-harid-on-jerusalem-talmud-bava-metzia	תוספות הרי"ד על תלמוד ירושלמי בבא מציעא	Tosafot HaRid on Jerusalem Talmud Bava Metzia
תוספות הרי"ד על תלמוד ירושלמי בבא קמא	yerushalmi/tosafot-harid-on-jerusalem-talmud-bava-kamma	תוספות הרי"ד על תלמוד ירושלמי בבא קמא	Tosafot HaRid on Jerusalem Talmud Bava Kamma
תוספות הרי"ד על תלמוד ירושלמי ביצה	yerushalmi/tosafot-harid-on-jerusalem-talmud-beitzah	תוספות הרי"ד על תלמוד ירושלמי ביצה	Tosafot HaRid on Jerusalem Talmud Beitzah
תוספות הרי"ד על תלמוד ירושלמי בכורים	yerushalmi/tosafot-harid-on-jerusalem-talmud-bikkurim	תוספות הרי"ד על תלמוד ירושלמי בכורים	Tosafot HaRid on Jerusalem Talmud Bikkurim
תוספות הרי"ד על תלמוד ירושלמי ברכות	yerushalmi/tosafot-harid-on-jerusalem-talmud-berakhot	תוספות הרי"ד על תלמוד ירושלמי ברכות	Tosafot HaRid on Jerusalem Talmud Berakhot
